name,lat,lng,category,religion,denomination,address,city,country,website,description
Igreja Adventista do Sétimo Dia - Bragança,41.7975205,-6.76303405,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Alameda Santa Apolónia, nº 54 – R/c Dtº, 5300-114 Bragança",Bragança,Portugal,https://www.adventistas.org.pt/braganca,Igreja Adventista do Sétimo Dia em Bragança. Horários: Sábado 10:00
Igreja Adventista do Sétimo Dia - Brandoa,38.78003,-9.23109,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Doutora Madalena Perdigão, nº 23 – Serra da Mira, 2650-284 Amadora",Amadora,Portugal,https://www.adventistas.org.pt/brandoa,Igreja Adventista do Sétimo Dia em Amadora. Horários: Sábado 10:00 | Quarta 20:00 | Domingo 18:00
Igreja Adventista do Sétimo Dia - Cacém,38.77693,-9.28143,amenity=place_of_worship,christian,seventh_day_adventist,"Praceta Rui das Neves Machado, nº 2, Loja 3, 2735-190 Agualva – Cacém",Agualva – Cacém,Portugal,https://www.adventistas.org.pt/cacem,Igreja Adventista do Sétimo Dia em Agualva – Cacém. Horários: Sábado 10:00 | Terça 20:00 | Domingo 19:00
Igreja Adventista do Sétimo Dia - Caldas da Rainha,39.39977,-9.14436,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Carlos Garrido, 1, 2500-071 Caldas da Rainha",Caldas da Rainha,Portugal,https://www.adventistas.org.pt/caldasdarainha,Igreja Adventista do Sétimo Dia em Caldas da Rainha. Horários: Sábado 09:45 |Quarta 20:30
Igreja Adventista do Sétimo Dia - Camarate,38.802319,-9.144466,amenity=place_of_worship,christian,seventh_day_adventist,"Praceta dos Palmares, Lote 1, r/c frente, Bairro de Fetais, 2680-158 Camarate",Camarate,Portugal,https://www.adventistas.org.pt/camarate,Igreja Adventista do Sétimo Dia em Camarate. Horários: Sábado 10h30 | Terça 20h00
Igreja Adventista do Sétimo Dia - Canelas,41.0811,-8.60015,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Delfim de Lima, 2068 – Apartado 515, 4411-701 Canelas VNG",Canelas VNG,Portugal,https://www.iasdcanelas.org,Igreja Adventista do Sétimo Dia em Canelas VNG. Horários: Sábado 09:45 | Quarta 21:00 (verão) 20:30 (inverno)
Igreja Adventista do Sétimo Dia - Caniço,32.65861,-16.82422,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Pedreira, 2 – Assomada, 9125-132 Caniço",Caniço,Portugal,https://www.adventistas.org.pt/canico,Igreja Adventista do Sétimo Dia em Caniço. Horários: Sábado 10:00 | Quarta 20:00
Igreja Adventista do Sétimo Dia - CAOD,41.12031,-8.57978,amenity=place_of_worship,christian,seventh_day_adventist,"Rua do Jorgim, 166 - Oliveira do Douro, 4430-436 Vila Nova de Gaia",Vila Nova de Gaia,Portugal,https://www.adventistas.org.pt/caod,Igreja Adventista do Sétimo Dia em Vila Nova de Gaia. Horários: Sábado 10:00 | Terça 19:30 (crianças) 20:00 (igreja/adultos)
Igreja Adventista do Sétimo Dia - Carregal do Sal,40.43015,-8.00621,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Dr. Francisco Sá Carneiro, 11 C, 3430-048 Carregal do Sal",Carregal do Sal,Portugal,https://www.adventistas.org.pt/carregaldosal,Igreja Adventista do Sétimo Dia em Carregal do Sal. Horários: Sábado 09:45 |Terça 20:00 (inverno) 20:30 (verão)
Igreja Adventista do Sétimo Dia - Casal de Cambra,38.80436,-9.22988,amenity=place_of_worship,christian,seventh_day_adventist,"Av. de Timor, nº 5 A, 2605-874 Casal de Cambra",Casal de Cambra,Portugal,https://www.adventistas.org.pt/casaldecambra,Igreja Adventista do Sétimo Dia em Casal de Cambra. Horários: Sábado 10:00 | Quarta 20:00 | Domingo 19:00
